,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Location,Device
53,A1053,dataanlyticscourse,113.0,4945.0,187.66,15.0,10.0,0.0,1564.0,hyderabad,tablet
54,A1054,dataanalytciscourse,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,hyderabad,desktop
55,A1055,dataanalytciscourse,125.0,4223.0,183.68,15.0,6.0,0.0,1267.0,hyderabad,desktop
56,A1056,dataanalytciscourse,104.0,4798.0,210.1,18.0,3.0,0.0,1340.0,hyderabad,desktop
57,A1057,dataanlyticscourse,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,hydrebad,mobile
58,A1058,dataanalyticscourse,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,hyderbad,desktop
59,A1059,dataanalyticscourse,179.0,3025.0,238.81,17.0,3.0,0.017,0.0,hyderabad,mobile
60,A1060,dataanalyticscourse,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,hyderbad,tablet
61,A1061,dataanalytciscourse,166.0,5089.0,0.0,26.0,7.0,0.042,1946.0,hyderbad,tablet
62,A1062,dataanlyticscourse,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,hyderabad,desktop
63,A1063,dataanalyticscourse,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,hyderabad,mobile
64,A1064,dataanalytciscourse,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,hyderabad,tablet
65,A1065,dataanalyticscourse,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,hyderabad,desktop
66,A1066,dataanalyticscourse,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,hyderabad,mobile
67,A1067,dataanalytciscourse,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,hyderbad,desktop
68,A1068,dataanalytciscourse,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,hyderbad,desktop
69,A1069,dataanalyticscourse,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,hydrebad,desktop
70,A1070,dataanalytciscourse,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,hyderabad,mobile
71,A1071,dataanalyticscourse,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,hyderabad,tablet
72,A1072,dataanalyticscourse,133.0,3728.0,199.13,11.0,10.0,0.0,0.0,hyderabad,desktop
73,A1073,dataanalyticscourse,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,hyderabad,tablet
74,A1074,dataanalyticscourse,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,hyderabad,desktop
75,A1075,dataanalytciscourse,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,hyderabad,desktop
76,A1076,dataanlyticscourse,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,hyderbad,mobile
77,A1077,dataanalyticscourse,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,hyderabad,desktop
78,A1078,dataanlyticscourse,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,hydrebad,tablet
79,A1079,dataanalytciscourse,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,hydrebad,tablet
80,A1080,dataanalytciscourse,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,hydrebad,mobile
81,A1081,dataanalyticscourse,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,hyderbad,mobile
82,A1082,dataanalytciscourse,149.0,3587.0,217.53,23.0,8.0,0.0,0.0,hydrebad,mobile
83,A1083,dataanalyticscourse,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,hyderabad,mobile
84,A1084,dataanalyticscourse,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,hyderbad,tablet
85,A1085,dataanalyticscourse,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,hyderabad,desktop
86,A1086,dataanlyticscourse,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,hyderabad,desktop
87,A1087,dataanalyticscourse,143.0,4368.0,0.0,27.0,7.0,0.049,1199.0,hydrebad,tablet
88,A1088,dataanalytciscourse,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,hydrebad,tablet
89,A1089,dataanalyticscourse,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,hyderabad,desktop
90,A1090,dataanlyticscourse,141.0,4851.0,227.39,28.0,5.0,0.0,1821.0,hyderabad,desktop
91,A1091,dataanalyticscourse,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,hyderbad,tablet
92,A1092,dataanlyticscourse,112.0,3345.0,0.0,11.0,6.0,0.047,1859.0,hyderbad,tablet
93,A1093,dataanalyticscourse,0.0,5903.0,184.41,23.0,9.0,0.0,1188.0,hyderbad,tablet
94,A1094,dataanalytciscourse,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,hydrebad,tablet
95,A1095,dataanlyticscourse,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,hyderbad,desktop
96,A1096,dataanalyticscourse,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,hyderabad,tablet
97,A1097,dataanalytciscourse,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,hydrebad,tablet
98,A1098,dataanalyticscourse,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,hydrebad,tablet
99,A1099,dataanlyticscourse,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,hyderabad,tablet
100,A1100,dataanlyticscourse,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,hyderbad,desktop
101,A1101,dataanalyticscourse,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,hyderabad,tablet
102,A1102,dataanlyticscourse,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,hyderbad,mobile
103,A1103,dataanalytciscourse,119.0,5800.0,221.36,11.0,8.0,0.0,0.0,hydrebad,desktop
104,A1104,dataanalytciscourse,89.0,3594.0,0.0,14.0,6.0,0.067,1026.0,hyderabad,tablet
105,A1105,dataanalytciscourse,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,hyderabad,tablet
106,A1106,dataanalyticscourse,109.0,4128.0,183.65,12.0,5.0,0.0,0.0,hyderabad,desktop
107,A1107,dataanlyticscourse,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,hyderabad,tablet
108,A1108,dataanlyticscourse,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,hyderabad,desktop
109,A1109,dataanlyticscourse,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,hyderabad,tablet
110,A1110,dataanalyticscourse,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,hyderabad,mobile
111,A1111,dataanalyticscourse,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,hyderabad,mobile
112,A1112,dataanalyticscourse,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,hyderabad,mobile
113,A1113,dataanalyticscourse,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,hyderbad,mobile
114,A1114,dataanalyticscourse,91.0,0.0,203.52,0.0,9.0,0.099,1838.0,hydrebad,desktop
115,A1115,dataanalytciscourse,140.0,5405.0,195.69,21.0,8.0,0.0,1094.0,hyderabad,desktop
116,A1116,dataanalyticscourse,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,hyderbad,mobile
117,A1117,dataanalytciscourse,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,hyderabad,mobile
118,A1118,dataanlyticscourse,172.0,3889.0,0.0,21.0,10.0,0.0,1766.0,hyderabad,tablet
119,A1119,dataanalytciscourse,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,hydrebad,tablet
120,A1120,dataanlyticscourse,117.0,0.0,214.18,29.0,4.0,0.034,1348.0,hyderabad,mobile
121,A1121,dataanalyticscourse,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,hyderabad,mobile
122,A1122,dataanalyticscourse,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,hyderabad,tablet
123,A1123,dataanlyticscourse,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,hyderabad,desktop
124,A1124,dataanalyticscourse,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,hyderabad,mobile
125,A1125,dataanalytciscourse,110.0,4254.0,187.87,11.0,4.0,0.0,1172.0,hyderabad,mobile
126,A1126,dataanlyticscourse,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,hyderbad,tablet
127,A1127,dataanalyticscourse,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,hyderbad,mobile
128,A1128,dataanalyticscourse,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,hyderabad,mobile
129,A1129,dataanlyticscourse,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,hyderbad,tablet
130,A1130,dataanlyticscourse,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,hyderbad,tablet
131,A1131,dataanalyticscourse,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,hydrebad,desktop
132,A1132,dataanalyticscourse,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,hyderabad,mobile
133,A1133,dataanlyticscourse,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,hyderabad,tablet
134,A1134,dataanalytciscourse,188.0,3934.0,206.21,16.0,9.0,0.048,0.0,hydrebad,desktop
135,A1135,dataanalytciscourse,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,hyderabad,desktop
136,A1136,dataanlyticscourse,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,hyderabad,mobile
137,A1137,dataanalyticscourse,122.0,4048.0,202.23,28.0,10.0,0.082,0.0,hyderabad,mobile
138,A1138,dataanalytciscourse,99.0,3169.0,237.68,21.0,6.0,0.0,1509.0,hydrebad,mobile
139,A1139,dataanalyticscourse,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,hyderabad,tablet
140,A1140,dataanlyticscourse,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,hyderabad,desktop
141,A1141,dataanalytciscourse,0.0,4259.0,182.98,10.0,10.0,0.031,1048.0,hyderabad,mobile
142,A1142,dataanalyticscourse,143.0,3628.0,0.0,18.0,9.0,0.063,1566.0,hydrebad,tablet
143,A1143,dataanalyticscourse,80.0,3269.0,0.0,12.0,4.0,0.05,1753.0,hyderbad,desktop
144,A1144,dataanlyticscourse,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,hydrebad,desktop
145,A1145,dataanlyticscourse,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,hyderabad,desktop
146,A1146,dataanalyticscourse,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,hyderabad,desktop
147,A1147,dataanalyticscourse,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,hyderabad,tablet
148,A1148,dataanalyticscourse,180.0,4326.0,221.67,13.0,0.0,0.0,1427.0,hyderbad,tablet
149,A1149,dataanalytciscourse,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,hyderabad,desktop
150,A1150,dataanlyticscourse,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,hyderabad,mobile
151,A1151,dataanlyticscourse,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,hyderbad,tablet
152,A1152,dataanalyticscourse,116.0,3901.0,0.0,21.0,4.0,0.034,1483.0,hyderabad,tablet
153,A1153,dataanalyticscourse,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,hyderbad,desktop
154,A1154,dataanalyticscourse,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,hyderabad,tablet
155,A1155,dataanalyticscourse,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,hydrebad,mobile
156,A1156,dataanalyticscourse,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,hydrebad,mobile
157,A1157,dataanalytciscourse,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,hyderbad,tablet
158,A1158,dataanalyticscourse,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,hydrebad,mobile
159,A1159,dataanalyticscourse,150.0,4806.0,244.53,15.0,9.0,0.0,1602.0,hydrebad,mobile
160,A1160,dataanlyticscourse,160.0,0.0,245.87,11.0,6.0,0.037,0.0,hyderbad,desktop
161,A1161,dataanlyticscourse,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,hyderabad,mobile
162,A1162,dataanlyticscourse,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,hydrebad,tablet
163,A1163,dataanalyticscourse,152.0,3542.0,208.96,13.0,9.0,0.0,1735.0,hyderbad,desktop
164,A1164,dataanalyticscourse,139.0,4347.0,238.19,26.0,5.0,0.0,1384.0,hydrebad,tablet
165,A1165,dataanalytciscourse,175.0,5014.0,247.24,25.0,7.0,0.04,1499.0,hydrebad,mobile
166,A1166,dataanalyticscourse,92.0,4185.0,218.46,21.0,9.0,0.035,1567.0,hyderbad,mobile
167,A1167,dataanalyticscourse,123.0,5964.0,0.0,17.0,6.0,0.0,1363.0,hydrebad,desktop
168,A1168,dataanalytciscourse,86.0,5124.0,183.71,13.0,10.0,0.116,1137.0,hyderabad,mobile
169,A1169,dataanlyticscourse,117.0,4162.0,238.08,28.0,10.0,0.085,1186.0,hydrebad,mobile
170,A1170,dataanalytciscourse,146.0,4330.0,191.9,20.0,3.0,0.021,1748.0,hyderabad,mobile
171,A1171,dataanalytciscourse,89.0,3268.0,0.0,17.0,4.0,0.045,1233.0,hyderabad,desktop
172,A1172,dataanalyticscourse,195.0,3483.0,213.99,27.0,7.0,0.036,1796.0,hyderabad,desktop
173,A1173,dataanalytciscourse,170.0,4519.0,240.63,22.0,7.0,0.041,1012.0,hyderbad,mobile
174,A1174,dataanalytciscourse,97.0,3605.0,240.29,21.0,7.0,0.045,1682.0,hyderabad,desktop
175,A1175,dataanlyticscourse,159.0,5076.0,204.97,15.0,10.0,0.063,1638.0,hyderbad,tablet
176,A1176,dataanlyticscourse,131.0,5352.0,225.86,24.0,10.0,0.0,1961.0,hyderabad,mobile
177,A1177,dataanalyticscourse,108.0,5503.0,185.26,11.0,7.0,0.065,1921.0,hydrebad,mobile
178,A1178,dataanalyticscourse,93.0,4308.0,209.83,19.0,9.0,0.097,1694.0,hyderabad,mobile
179,A1179,dataanalytciscourse,137.0,3555.0,213.5,29.0,3.0,0.0,0.0,hyderabad,desktop
180,A1180,dataanalyticscourse,81.0,5615.0,193.14,30.0,6.0,0.074,1255.0,hyderabad,mobile
181,A1181,dataanalytciscourse,160.0,4743.0,206.22,23.0,10.0,0.062,1825.0,hydrebad,mobile
182,A1182,dataanlyticscourse,186.0,3337.0,183.58,16.0,8.0,0.043,1045.0,hyderabad,desktop
183,A1183,dataanalytciscourse,105.0,3234.0,238.8,27.0,10.0,0.095,1248.0,hyderbad,desktop
184,A1184,dataanalytciscourse,131.0,3913.0,203.69,14.0,10.0,0.0,1079.0,hyderbad,desktop
185,A1185,dataanalytciscourse,129.0,3208.0,204.2,18.0,8.0,0.032,1456.0,hyderabad,desktop
186,A1186,dataanlyticscourse,187.0,5972.0,220.64,30.0,7.0,0.037,1980.0,hyderbad,desktop
187,A1187,dataanalyticscourse,167.0,3662.0,235.43,10.0,7.0,0.042,1684.0,hyderbad,mobile
188,A1188,dataanalyticscourse,140.0,3359.0,182.13,29.0,7.0,0.045,1973.0,hydrebad,desktop
189,A1189,dataanalyticscourse,198.0,3700.0,220.67,14.0,5.0,0.0,1531.0,hyderabad,mobile
190,A1190,dataanlyticscourse,196.0,3835.0,218.07,10.0,9.0,0.041,1871.0,hyderabad,tablet
191,A1191,dataanalyticscourse,140.0,5638.0,208.02,22.0,5.0,0.0,1652.0,hyderbad,desktop
192,A1192,dataanalyticscourse,157.0,5825.0,230.6,16.0,3.0,0.019,1041.0,hydrebad,desktop
193,A1193,dataanalyticscourse,91.0,5428.0,248.38,11.0,3.0,0.033,1835.0,hyderabad,tablet
194,A1194,dataanalytciscourse,140.0,3571.0,238.12,21.0,9.0,0.064,1762.0,hyderabad,desktop
195,A1195,dataanalyticscourse,154.0,3638.0,182.17,11.0,8.0,0.056,1413.0,hyderabad,mobile
196,A1196,dataanlyticscourse,133.0,4505.0,200.52,23.0,3.0,0.039,1562.0,hyderabad,tablet
197,A1197,dataanalytciscourse,0.0,5016.0,238.59,26.0,9.0,0.0,1620.0,hyderbad,mobile
198,A1198,dataanlyticscourse,141.0,3071.0,208.2,10.0,6.0,0.043,1647.0,hydrebad,tablet
199,A1199,dataanlyticscourse,135.0,5682.0,0.0,30.0,3.0,0.0,1445.0,hyderbad,tablet
200,A1200,dataanalyticscourse,199.0,5067.0,247.38,24.0,8.0,0.059,1365.0,hyderbad,mobile
201,A1201,dataanalytciscourse,138.0,3971.0,184.87,28.0,3.0,0.022,1718.0,hyderbad,tablet
202,A1202,dataanalytciscourse,175.0,4481.0,236.38,21.0,10.0,0.057,1257.0,hyderabad,desktop
203,A1203,dataanlyticscourse,170.0,5476.0,186.29,25.0,4.0,0.024,1731.0,hyderabad,mobile
204,A1204,dataanalytciscourse,138.0,4426.0,203.75,24.0,10.0,0.072,1838.0,hyderabad,mobile
205,A1205,dataanalyticscourse,108.0,4080.0,247.8,18.0,4.0,0.037,1363.0,hyderbad,tablet
206,A1206,dataanlyticscourse,150.0,4113.0,219.67,12.0,7.0,0.047,1196.0,hyderabad,mobile
207,A1207,dataanalyticscourse,90.0,5119.0,226.58,14.0,10.0,0.111,1348.0,hydrebad,desktop
208,A1208,dataanalyticscourse,98.0,3422.0,223.55,17.0,7.0,0.0,1414.0,hydrebad,tablet
209,A1209,dataanalytciscourse,130.0,3327.0,224.83,13.0,3.0,0.023,1668.0,hydrebad,mobile
210,A1210,dataanalytciscourse,199.0,0.0,199.98,15.0,8.0,0.04,1467.0,hyderabad,tablet
211,A1211,dataanalyticscourse,101.0,3241.0,183.34,24.0,0.0,0.0,1483.0,hyderbad,tablet
212,A1212,dataanlyticscourse,118.0,3970.0,0.0,27.0,9.0,0.076,1036.0,hydrebad,desktop
213,A1213,dataanalyticscourse,199.0,5734.0,247.99,18.0,0.0,0.0,1455.0,hydrebad,desktop
214,A1214,dataanalyticscourse,183.0,4001.0,237.85,23.0,4.0,0.022,1430.0,hyderbad,mobile
215,A1215,dataanlyticscourse,126.0,4206.0,233.76,29.0,10.0,0.041,1998.0,hyderabad,tablet
216,A1216,dataanlyticscourse,199.0,4745.0,0.0,13.0,9.0,0.0,1800.0,hyderabad,tablet
217,A1217,dataanalyticscourse,92.0,4042.0,200.75,15.0,7.0,0.076,1234.0,hyderabad,tablet
218,A1218,dataanlyticscourse,0.0,4883.0,249.61,10.0,3.0,0.0,1464.0,hyderabad,tablet
219,A1219,dataanalyticscourse,92.0,3748.0,208.15,14.0,8.0,0.087,1297.0,hyderabad,desktop
220,A1220,dataanlyticscourse,135.0,3480.0,224.94,11.0,4.0,0.03,1398.0,hyderbad,tablet
221,A1221,dataanalyticscourse,177.0,3007.0,223.22,30.0,8.0,0.045,1766.0,hydrebad,mobile
222,A1222,dataanalyticscourse,117.0,3380.0,186.73,21.0,10.0,0.055,1958.0,hyderabad,desktop
223,A1223,dataanalyticscourse,127.0,4823.0,194.69,11.0,10.0,0.057,1496.0,hydrebad,desktop
224,A1224,dataanalytciscourse,132.0,4490.0,202.45,10.0,7.0,0.053,1441.0,hyderbad,mobile
225,A1225,dataanalyticscourse,102.0,5149.0,229.48,27.0,9.0,0.088,1137.0,hyderabad,desktop
226,A1226,dataanlyticscourse,91.0,4290.0,213.74,0.0,10.0,0.0,1797.0,hydrebad,mobile
227,A1227,dataanlyticscourse,163.0,5643.0,217.4,30.0,6.0,0.0,1678.0,hydrebad,desktop
228,A1228,dataanalyticscourse,92.0,3916.0,188.1,0.0,6.0,0.065,1005.0,hyderabad,desktop
229,A1229,dataanlyticscourse,165.0,4551.0,185.35,30.0,0.0,0.0,1662.0,hyderbad,desktop
230,A1230,dataanalyticscourse,127.0,3344.0,201.7,10.0,8.0,0.0,1190.0,hyderabad,desktop
231,A1231,dataanalyticscourse,178.0,4441.0,231.97,22.0,4.0,0.022,1886.0,hyderabad,mobile
232,A1232,dataanlyticscourse,101.0,0.0,234.17,29.0,5.0,0.05,1568.0,hyderabad,mobile
233,A1233,dataanlyticscourse,161.0,5977.0,193.27,24.0,0.0,0.0,1366.0,hyderbad,desktop
234,A1234,dataanlyticscourse,95.0,4562.0,187.62,24.0,9.0,0.095,1239.0,hydrebad,desktop
235,A1235,dataanalytciscourse,85.0,5099.0,232.56,28.0,9.0,0.0,1526.0,hydrebad,mobile
236,A1236,dataanalyticscourse,192.0,5852.0,181.05,16.0,8.0,0.042,1600.0,hyderabad,desktop
237,A1237,dataanlyticscourse,80.0,3823.0,181.57,13.0,4.0,0.0,1564.0,hydrebad,desktop
238,A1238,dataanalyticscourse,191.0,4612.0,238.23,20.0,10.0,0.052,1531.0,hyderbad,mobile
239,A1239,dataanalyticscourse,147.0,5881.0,196.34,23.0,7.0,0.048,1614.0,hyderabad,desktop
240,A1240,dataanalyticscourse,100.0,5204.0,197.53,26.0,4.0,0.04,1675.0,hydrebad,tablet
241,A1241,dataanalytciscourse,82.0,5130.0,233.75,0.0,9.0,0.11,0.0,hyderbad,mobile
242,A1242,dataanalyticscourse,123.0,5231.0,202.93,30.0,10.0,0.081,1551.0,hyderabad,desktop
243,A1243,dataanlyticscourse,165.0,5980.0,248.41,17.0,3.0,0.018,1803.0,hyderbad,tablet
244,A1244,dataanalyticscourse,167.0,3202.0,214.87,26.0,6.0,0.036,1571.0,hyderabad,desktop
245,A1245,dataanlyticscourse,111.0,5847.0,196.71,21.0,9.0,0.081,1445.0,hyderabad,mobile
246,A1246,dataanalytciscourse,94.0,4359.0,0.0,28.0,5.0,0.045,1920.0,hydrebad,tablet
247,A1247,dataanalyticscourse,179.0,3185.0,236.74,29.0,5.0,0.0,1156.0,hyderabad,desktop
